Symbol,Name,LastSale,MarketCap,ADR TSO,IPOyear,Sector,Industry,Summary Quote
KKD,"Krispy Kreme Doughnuts, Inc.",14.2,895081124.4,n/a,n/a,Consumer Non-Durables,Food Chains,http://www.nasdaq.com/symbol/kkd
KR,Kroger Company (The),40.8,39768688812,n/a,n/a,Consumer Services,Food Chains,http://www.nasdaq.com/symbol/kr
KRO,Kronos Worldwide Inc,4.8,556226870.4,n/a,n/a,Basic Industries,Major Chemicals,http://www.nasdaq.com/symbol/kro
KT,KT Corporation,11.39,5948126986,n/a,n/a,Public Utilities,Telecommunications Equipment,http://www.nasdaq.com/symbol/kt
KYO,Kyocera Corporation,43.43,15932703525,n/a,n/a,Technology,Semiconductors,http://www.nasdaq.com/symbol/kyo
LB,"L Brands, Inc.",93.23,26983967993,n/a,n/a,Consumer Services,Clothing/Shoe/Accessory Stores,http://www.nasdaq.com/symbol/lb
SCX,L.S. Starrett Company (The),9.15,64217673.75,n/a,n/a,Capital Goods,Industrial Machinery/Components,http://www.nasdaq.com/symbol/scx
LLL,"L-3 Communications Holdings, Inc.",114.55,8979314586,n/a,n/a,Technology,Radio And Television Broadcasting And Communications Equipment,http://www.nasdaq.com/symbol/lll
LQ,La Quinta Holdings Inc.,11.82,1532327472,n/a,2014,Consumer Services,Hotels/Resorts,http://www.nasdaq.com/symbol/lq
LH,Laboratory Corporation of America Holdings,116.25,11764500000,n/a,n/a,Health Care,Medical Specialities,http://www.nasdaq.com/symbol/lh
LG,"Laclede Group, Inc.",58.52,2536866052,n/a,n/a,Public Utilities,Oil/Gas Transmission,http://www.nasdaq.com/symbol/lg
LADR,Ladder Capital Corp,12.54,1245856010,n/a,2014,Finance,Real Estate,http://www.nasdaq.com/symbol/ladr
LDR,"Landauer, Inc.",28.92,276708034.9,n/a,n/a,Capital Goods,Industrial Machinery/Components,http://www.nasdaq.com/symbol/ldr
LCI,Lannett Co Inc,35.99,1314626273,n/a,n/a,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/lci
LPI,"Laredo Petroleum, Inc.",7,1496628413,n/a,2011,Energy,Oil & Gas Production,http://www.nasdaq.com/symbol/lpi
